X, Y, Z
-1.814922, 1.956859, 53.623764
-1.829562, 1.956479, 53.632862
-1.839962, 1.957118, 53.637325
-1.850402, 1.953818, 53.645905
-1.862580, 1.954776, 53.658100
-1.862941, 1.957656, 53.664417
-1.863921, 1.957715, 53.663139
-1.869680, 1.963495, 53.678127
-1.875181, 1.961075, 53.688099
-1.884801, 1.965794, 53.700039
-1.890643, 1.968853, 53.711094
-1.896843, 1.966394, 53.717674
-1.912282, 1.963294, 53.727150
-1.926384, 1.962314, 53.737934
-1.931564, 1.963913, 53.743465
-2.001683, 2.100391, 54.568207
-2.845174, 2.528536, 81.890182
-2.892289, 2.499415, 83.531364
-2.784976, 2.467008, 83.597992
-2.764756, 2.510169, 83.665955
-2.757836, 2.538429, 83.731926
-2.743317, 2.571468, 83.794868
-2.732417, 2.599467, 83.860825
-2.722877, 2.629269, 83.923393
-2.720297, 2.650830, 83.988197
-2.718416, 2.682211, 84.049973
-2.714416, 2.704791, 84.109604
-2.709676, 2.732551, 84.171486
-2.705377, 2.748311, 84.225044
-2.695417, 2.762691, 84.273262
-2.682837, 2.791668, 84.328514
-2.674638, 2.822390, 84.381348
-2.666897, 2.838989, 84.436699
-2.660698, 2.865730, 84.478531
-2.655679, 2.899989, 84.532928
-2.644498, 2.917888, 84.591286
-2.634918, 2.939568, 84.646866
-2.625417, 2.957288, 84.694778
-2.625198, 2.963028, 84.743126
-2.617638, 2.977008, 84.806419
-2.607838, 2.986269, 84.865616
-2.601538, 3.005469, 84.913017
-2.596638, 3.021827, 84.958145
-2.588719, 3.040288, 85.011086
-2.589839, 3.057167, 85.059830
-2.581758, 3.076008, 85.110809
-2.573079, 3.091047, 85.158058
-2.565959, 3.114227, 85.208084
-2.560439, 3.134546, 85.261589
-2.562260, 3.154785, 85.304642
-2.551321, 3.175144, 85.346542
-2.547240, 3.193824, 85.391304
-2.538701, 3.215564, 85.434166
-2.531580, 3.233925, 85.480980
-2.520861, 3.251226, 85.529053
-2.511020, 3.271066, 85.571739
-2.505080, 3.290185, 85.616013
-2.498940, 3.314745, 85.661194
-2.493080, 3.332303, 85.701347
-2.482618, 3.349923, 85.746140
-2.472337, 3.364004, 85.792328
-2.465616, 3.384243, 85.840912
-2.463456, 3.405662, 85.879501
-2.463715, 3.424862, 85.922638
-2.456296, 3.440521, 85.964813
-2.451915, 3.454621, 86.007866
-2.446975, 3.469441, 86.053513
-2.449816, 3.493181, 86.088577
-2.448877, 3.513780, 86.133667
-2.447156, 3.536640, 86.179527
-2.448896, 3.561538, 86.232178
-2.445496, 3.582158, 86.279060
-2.439337, 3.600939, 86.308182
-2.439497, 3.621357, 86.350914
-2.434719, 3.640119, 86.394547
-2.436379, 3.665719, 86.434372
-2.437479, 3.680339, 86.470581
-2.428339, 3.690138, 86.507301
-2.435600, 3.704658, 86.555977
-2.429239, 3.717939, 86.601952
-2.422479, 3.732516, 86.640205
-2.426078, 3.749335, 86.675041
-2.426419, 3.766815, 86.710228
-2.425119, 3.780296, 86.747765
-2.416081, 3.800595, 86.788605
-2.412322, 3.819075, 86.825607
-2.404922, 3.833994, 86.860161
-2.402082, 3.847753, 86.894264
-2.398763, 3.862273, 86.932838
-2.399843, 3.872953, 86.978371
-2.400083, 3.886733, 87.012970
